Incident Date,District,Outcome of Shots Fired,Incident Type,Subject Weapon,Subject Age,Subject Sex,Subject Ethnicity,Link to IPCA Investigation Public Report
28/06/09,Canterbury,Fatal,1C - car/person acting suspiciously,Rifle Shotgun,42,M,European,https://www.ipca.govt.nz/includes/download.aspx?ID=110272
27/07/09,Auckland,Non-fatal injury,6820 - Firearms offences,Cutting/stabbing weapon,36,M,Maori,
18/07/10,Auckland,Non-fatal injury,1Z - other incident,Airgun,38,M,Maori,
24/02/11,Central,Non-fatal injury,1Z - other incident,Rifle,28,M,European,https://www.ipca.govt.nz/includes/download.aspx?ID=125543
28/03/11,Eastern,Fatal,Homicide,Shotgun,19,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=130981
16/07/11,Central,Fatal,Kidnapping,Cutting/stabbing weapon; Airgun - handgun,46,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=135477
20/10/11,Eastern,Non-fatal injury,1710 - Intimidation/threats,No weapon,51,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=133903
21/01/12,Counties Manukau,Non-fatal injury,1D - domestic dispute incident,Bludgeoning weapon,43,M,Maori,
15/03/12,Canterbury,Non-fatal injury,3530 - Disorder,Cutting/stabbing weapon,31,M,MELAA,https://www.ipca.govt.nz/Site/z-archive/2015-Template-Archive-/media/2012/2012-October-4---Zakariye-Hussein.aspx
2/05/13,Wellington,Non-fatal injury,1D - domestic dispute incident,Cutting/stabbing weapon,47,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=130808
