Incident Date,District,Outcome of Shots Fired,Incident Type,Subject Weapon,Subject Age,Subject Sex,Subject Ethnicity,Link to IPCA Investigation Public Report
8/06/13,Central,Fatal,4U - arrest and follow up,Rifle (Cut down),33,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=138218
8/07/13,Waitemata,Fatal,Firearms offence,Rifle,20,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=137516
16/08/13,Eastern,Non-fatal injury,1M - mental health,Airgun - handgun,33,M,Maori,
7/11/13,Counties Manukau,Miss,6E - EM bail breach,Bludgeoning weapon,46,M,Maori,
21/10/14,Waikato,Non-fatal injury,1D - domestic dispute incident,Shotgun (cut down),50,M,European,https://www.ipca.govt.nz/includes/download.ashx?ID=147565
28/04/15,Counties Manukau,Non-fatal injury,6820 - Firearms offences,Handgun - pistol,42,M,Maori,https://www.ipca.govt.nz/includes/download.ashx?ID=148260
2/05/15,Waikato,Fatal,1110 - Homicide,Rifle,33,M,Maori,https://www.ipca.govt.nz/includes/download.ashx?ID=145645
2/08/15,Auckland,Fatal,1S - sudden death,No weapon,21,M,European,https://www.ipca.govt.nz/includes/download.ashx?ID=145080
20/08/15,Tasman,Non-fatal injury,Driving and firearms offences,Shotgun,27,M,Maori,https://www.ipca.govt.nz/includes/download.ashx?ID=148544
8/09/15,Wellington,Fatal,2M - missing person,Rifle,25,M,Maori,https://www.ipca.govt.nz/includes/download.ashx?ID=145135
26/10/15,Eastern,Non-fatal injury,1110 - Homicide,Shotgun,28,M,European,https://most0010142.expert.services/includes/download.ashx?ID=148132
