Incident Date,District,Outcome of Shots Fired,Incident Type,Subject Weapon,Subject Age,Subject Sex,Subject Ethnicity,Link to IPCA Investigation Public Report
28/11/05,Waitemata,Non-fatal injury,1110 - Homicide,Cutting/stabbing weapon,34,M,European,
6/01/07,Wellington,Non-fatal injury,6820 - Firearms offences,Shotgun,35,M,European,https://www.ipca.govt.nz/includes/download.aspx?ID=101413
26/09/07,Canterbury,Fatal,3530 - Disorder,Bludgeoning weapon,37,M,Maori,https://www.ipca.govt.nz/includes/download.aspx?ID=101401
27/11/07,Northland,Miss,2R - Recovery motor vehicle,Vehicle,17,M,Maori,
21/01/08,Waikato,Non-fatal injury,4120 - Burglary,Rifle,19,M,European,
23/10/08,Northland,Fatal,1S - sudden death,Airgun - Rifle,37,F,European,https://www.ipca.govt.nz/includes/download.aspx?ID=108400
23/01/09,Auckland,Non-fatal injury (offender),2R - recovery motor vehicle,Rifle (cut down),50,M,Maori,
23/01/09,Auckland,Fatal (bystander),2R - recovery motor vehicle,No weapon,17,M,Pacific peoples,https://www.ipca.govt.nz/includes/download.aspx?ID=120671
23/01/09,Auckland,Non-fatal injury (bystander),2R - recovery motor vehicle,No weapon,30,M,European,
7/05/09,Eastern,Miss,Execute search warrant,Shotgun; Shotgun (cut down); Rifle; Handgun - pistol,51,M,Unknown,
