"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"8/06/2013","Central","Fatal","4U - arrest and follow up","Rifle (Cut down)","33","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=138218"
"8/07/2013","Waitematā","Fatal","Firearms offence","Rifle","20","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=137516"
"16/08/2013","Eastern","Non-fatal injury","1M - mental health","Airgun - handgun","33","M","Māori",""
"7/11/2013","Counties Manukau","Miss","6E - EM bail breach","Bludgeoning weapon","46","M","Māori",""
"21/10/2014","Waikato","Non-fatal injury","1D - domestic dispute incident","Shotgun (cut down)","50","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=147565"
"28/04/2015","Counties Manukau","Non-fatal injury","6820 - Firearms offences","Handgun - pistol","42","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=148260"
"2/05/2015","Waikato","Fatal","1110 – Homicide","Rifle","33","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=145645"
"2/08/2015","Auckland","Fatal","1S - sudden death","No weapon","21","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=145080"
"20/08/2015","Tasman","Non-fatal injury","Driving and firearms offences","Shotgun","27","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=148544"
"8/09/2015","Wellington","Fatal","2M - missing person","Rifle","25","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=145135"
"26/10/2015","Eastern","Non-fatal ices/includes/download.ashx?IDinjury","1110 - Homicide","Shotgun","28","M","European","https://most0010142.expert.serv=148132"
