"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"28/11/2005","Waitematā","Non-fatal injury","1110 - Homicide","Cutting/stabbing weapon","34","M","European",""
"6/01/2007","Wellington","Non-fatal injury","6820 - Firearms offences","Shotgun","35","M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=101413"
"26/09/2007","Canterbury","Fatal","3530 – Disorder","Bludgeoning weapon","37","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=101401"
"27/11/2007","Northland","Miss","2R - Recovery motor vehicle","Vehicle","17","M","Māori",""
"21/01/2008","Waikato","Non-fatal injury","4120 – Burglary","Rifle","19","M","European",""
"23/10/2008","Northland","Fatal","1S - sudden death","Airgun - Rifle","37","F","European","https://www.ipca.govt.nz/includes/download.aspx?ID=108400"
"","","Non-fatal","","","","","",""
"23/01/2009","Auckland","injury","2R - recovery motor vehicle","Rifle (cut down)","50","M","Māori",""
"","","(offender)","","","","","",""
"23/01/2009","Auckland","Fatal (bystander)","2R - recovery motor vehicle","No weapon","17","M","Pacific peoples","https://www.ipca.govt.nz/includes/download.aspx?ID=120671"
"","","Non-fatal","","","","","",""
"23/01/2009","Auckland","injury","2R - recovery motor vehicle","No weapon","30","M","European",""
"","","(bystander)","","","","","",""
"","","","","Shotgun; Shotgun","","","",""
"7/05/2009","Eastern","Miss","Execute search warrant","(cut down); Rifle;","51","M","Unknown",""
"","","","","Handgun – pistol","","","",""
