"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"","","","","","","","","https://most0010142.expert.serv"
"13/08/2017","Waikato","Miss","3T - turnover","MSSA","36","M","Māori","ices/includes/download.ashx?ID"
"","","","","","","","","=153200"
"28/08/2017","Waikato","Miss","2W - arrest warrant (other)","Vehicle","37","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=155889"
"19/12/2017","Central","Non-fatal injury","1D - domestic dispute incident","Rifle (cut down)","22","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=155348"
"23/02/2018","Northland","Miss","1C – car/person acting suspiciously","Unknown","40","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=154931"
"31/03/2018","Waitematā","Fatal","1M - mental health","Cutting/stabbing weapon","29","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=156239"
"19/10/2018","Waitematā","Non-fatal injury","1Z - other incident","Shotgun","22","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=159823"
"25/11/2018","Canterbury","Fatal-cause unconfirmed","1D - domestic dispute incident","ShotgunVehicle","56","M","Unknown","https://www.ipca.govt.nz/includes/download.ashx?ID=158771"
"31/01/2019","Counties/Manukau","Miss","4U - arrest and follow up","Handgun - pistol","44","M","Māori",""
"21/02/2019","Bay of Plenty","Fatal","4U - arrest and follow up","Shotgun Vehicle","29","M","Māori","https://www.ipca.govt.nz/includes/download.ashx?ID=159872"
"26/02/2019","Canterbury","Non-fatal injury","2W - arrest warrant (other)","Shotgun","32","M","Pacific peoples","https://www.ipca.govt.nz/includes/download.ashx?ID=157979"
"28/07/2019","Tasman","Non-fatal injury","1Z - other incident","Cutting/stabbing weapon","27","M","European","https://www.ipca.govt.nz/includes/download.ashx?ID=157664"
