"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"29/07/1993","Waikato","Fatal","Hostage situation; threaten police and public with weapon","Cutting/stabbing weapon","47","M","European",""
"17/09/1994","Northland","Non-fatal injury","1C - car/person acting suspiciously","Cutting/stabbing weapon","22","M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104278"
"19/07/1995","Wellington","Non-fatal injury","1M - mental health incident","Rifle","57","M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104275"
"27/09/1995","Southern","Fatal","1M - mental health incident; siege; discharge firearm","Rifle","34","M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=104274"
"20/11/1995","Northland","Fatal","1M - mental health incident; discharge firearm","Rifle (cut down)","","M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=104273"
"6/02/1996","Tasman","Non-fatal injury","1D - domestic dispute incident","Cutting/stabbing weapon","25","M","European",""
"24/06/1996","Eastern","Fatal","Homicide","Rifle","43","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=104266"
"29/08/1996","Auckland","Non-fatal injury","1M - mental health incident; hostage situation","Cutting/stabbing weapon","24","F","European","https://www.ipca.govt.nz/includes/download.aspx?ID=104264"
"21/09/1996","Counties Manukau","Fatal","Threaten/discharge firearm","Rifle","46","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=104259"
"26/08/1998","Canterbury","Non-fatal injury","Hostage situation; threaten/discharge firearm","Shotgun (cut down)","20","M","European",""
"21/12/1998","Wellington","Non-fatal injury","Robbery","Shotgun","26","M","Māori",""
