"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"20/05/1979","Waitematā","Fatal","1D - domestic dispute incident","","","M","Unknown",""
"24/12/1982","Wellington","Fatal","Assault police with weapon","Bludgeoning weapon","","M","Unknown",""
"28/01/1983","Auckland","Non-fatal injury","Hostage situation; threaten with firearm","Shotgun","18","M","Unknown",""
"18/04/1983","Wellington","Fatal","Execute search warrant; threaten police with weapon","Bludgeoning weapon","26","M","Māori",""
"6/06/1985","Southern","Fatal","Homicide","Shotgun","32","M","European",""
"7/04/1986","Bay of Plenty","Non-fatal injury","Homicide","Shotgun","18","M","Māori",""
"14/03/1986","Northland","Fatal","Robbery; hostage situation","","","M","Unknown",""
"27/10/1990","Auckland","Fatal","Threaten police with firearm","Shotgun","","M","Unknown",""
"14/11/1990","Southern","Fatal","Homicide (multiple)","Rifle","33","M","European",""
"25/01/1991","Southern","Non-fatal injury","Discharge firearm at police","Rifle","","M","Unknown",""
"30/12/1991","Central","Non-fatal injury","Armed robbery","ShotgunRifle","36","M","European",""
