"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"23/04/1999","Canterbury","Non-fatal injury","Threaten police with firearm","Shotgun","60","M","Māori",""
"1/07/1999","Waitematā","Fatal","1S - sudden death","Replica firearm","31","M","Pacific peoples","https://www.ipca.govt.nz/includes/download.aspx?ID=104251"
"6/08/1999","Waitematā","Non-fatal injury","1D - domestic dispute incident","Cutting/stabbing weapon","33","M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=105096"
"16/02/2000","Southern","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon","26","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=104250"
"30/04/2000","Central","Fatal","Threaten police with weapon","Bludgeoning weapon","23","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=101402"
"31/05/2001","Wellington","Miss","Kidnappingaggravated robbery","","31","M","Unknown",""
"21/11/2001","Canterbury","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon","32","M","Unknown","https://www.ipca.govt.nz/includes/download.aspx?ID=101424"
"1/10/2002","Counties Manukau","Non-fatal injury","Threaten police","No weapon","26","M","Pacific peoples",""
"20/04/2004","Waitematā","Non-fatal injury","Threaten police with weapon","Cutting/stabbing weapon","37","M","Pacific peoples","https://www.ipca.govt.nz/includes/download.aspx?ID=101418"
"16/06/2004","Auckland","Miss","2Z - Other service request response","No weapon","27","M","European",""
"14/08/2004","Counties Manukau","Fatal","1D - domestic dispute incident","Cutting/stabbing weapon","37","M","MELAA","https://www.ipca.govt.nz/includes/download.aspx?ID=101419"
