"Incident Date","District","Outcome of Shots Fired","Incident Type","Subject Weapon","Subject Age","Subject Sex","Subject Ethnicity","Link to IPCA Investigation Public Report"
"28/06/2009","Canterbury","Fatal","1C - car/person acting suspiciously","Rifle Shotgun","42","M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=110272"
"27/07/2009","Auckland","Non-fatal injury","6820 - Firearms offences","Cutting/stabbing weapon","36","M","Māori",""
"18/07/2010","Auckland","Non-fatal injury","1Z - other incident","Airgun","38","M","Māori",""
"24/02/2011","Central","Non-fatal injury","1Z - other incident","Rifle","28","M","European","https://www.ipca.govt.nz/includes/download.aspx?ID=125543"
"28/03/2011","Eastern","Fatal","Homicide","Shotgun","19","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=130981"
"","","","","Cutting/stabbing","","","",""
"16/07/2011","Central","Fatal","Kidnapping","weapon","46","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=135477"
"","","","","Airgun - handgun","","","",""
"20/10/2011","Eastern","Non-fatal injury","1710 - Intimidation/threats","No weapon","51","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=133903"
"21/01/2012","Counties Manukau","Non-fatal injury","1D - domestic dispute incident","Bludgeoning weapon","43","M","Māori",""
"","","","","","","","","https://www.ipca.govt.nz/Site/z-"
"15/03/2012","Canterbury","Non-fatal injury","3530 – Disorder","Cutting/stabbing weapon","31","M","MELAA","archive/2015-Template-Archive-/media/2012/2012-October-4---"
"","","","","","","","","Zakariye-Hussein.aspx"
"2/05/2013","Wellington","Non-fatal injury","1D - domestic dispute incident","Cutting/stabbing weapon","47","M","Māori","https://www.ipca.govt.nz/includes/download.aspx?ID=130808"
